createdAt;orderId;fulfillmentId;type;channel;location;sku;treatmentQuantity;acquisitionType;stockType;reason;treatmentType;totalOrPartial;registeredAt;situation
2026-02-13T16:06:00.000Z;1610482207315;01;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502BL009196-A0001G;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-21T22:50:55.000Z;processed
2026-02-11T05:26:52.000Z;1609892204598;01;SHIPMENT;lancaperfume;LP SALVADOR SALVADOR;502RG001132-A0001M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-22T16:05:01.000Z;processed
2026-02-19T23:01:59.000Z;1611992213716;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502BL009243-A3692PP;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-23T14:42:54.000Z;processed
2026-02-19T23:01:59.000Z;1611992213716;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502SA002925-A3692PP;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T14:42:54.000Z;processed
2026-02-19T23:01:59.000Z;1611992213716;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502VE012029-A3666P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T14:42:54.000Z;processed
2026-02-20T11:41:34.000Z;1612122214163;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502TS005244-A0001P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T14:55:02.000Z;processed
2026-02-20T21:37:34.000Z;1612222214905;02;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502CF003210-A0001PP;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-23T14:55:24.000Z;processed
2026-02-21T01:16:11.000Z;1612252215203;03;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;537RA000756-A317037;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T14:55:40.000Z;processed
2026-02-21T01:16:07.000Z;1612252215201;01;SHIPMENT;lancaperfume;LP PORTO ALEGRE BARRA SUL;502BF000525-A3573G;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T14:55:53.000Z;processed
2026-02-21T15:12:55.000Z;1612392215657;02;SHIPMENT;lancaperfume;LP MANAUS PONTA NEGRA;502VE012193-A3828P;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-23T15:13:52.000Z;processed
2026-02-17T19:49:33.000Z;1611482211005;02;SHIPMENT;lancaperfume;LP BRASILIA PARKSHOPPING;502VE009861-A0003P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T15:14:34.000Z;processed
2026-02-17T19:49:33.000Z;1611482211005;02;SHIPMENT;lancaperfume;LP BRASILIA PARKSHOPPING;502VE012022-A0003P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T15:14:34.000Z;processed
2026-02-17T19:49:33.000Z;1611482211005;02;SHIPMENT;lancaperfume;LP BRASILIA PARKSHOPPING;502VE012024-A0003M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T15:14:34.000Z;processed
2026-02-19T12:59:16.000Z;1611892212966;02;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502TS005121-A0007PP;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T16:26:11.000Z;processed
2026-02-20T20:43:09.000Z;1612212214817;03;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502CA001592-A3548M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T16:26:26.000Z;processed
2026-02-21T01:16:11.000Z;1612252215203;02;SHIPMENT;lancaperfume;LP CAMPO GRANDE;537SD001455-A014437;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T16:26:47.000Z;processed
2026-02-19T22:03:21.000Z;1611982213634;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502RG001129-A3574M;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-23T16:31:49.000Z;processed
2026-02-19T22:03:21.000Z;1611982213634;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502VE011757-A3615PP;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T16:31:49.000Z;processed
2026-02-19T22:03:21.000Z;1611982213634;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;537RA000676-A000137;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T16:31:49.000Z;processed
2026-02-22T11:52:59.000Z;1612602216573;02;SHIPMENT;lancaperfume;LP RECIFE RECIFE;502TS005386-A3693M;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-23T18:41:07.000Z;processed
2026-02-13T15:48:41.000Z;1610482207289;02;SHIPMENT;lancaperfume;LP RECIFE RECIFE;501CF008247-A000434;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T20:04:08.000Z;processed
2026-02-19T13:20:17.000Z;1611892212989;02;SHIPMENT;lancaperfume;LP RECIFE RECIFE;502CF003222-A0001PP;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T20:05:17.000Z;processed
2026-02-20T17:31:37.000Z;1612182214579;01;SHIPMENT;lancaperfume;LP RECIFE RECIFE;502CA001571-A3379P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T20:06:12.000Z;processed
2026-02-20T17:31:37.000Z;1612182214579;01;SHIPMENT;lancaperfume;LP RECIFE RECIFE;502RG001137-A0001PP;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T20:06:12.000Z;processed
2026-02-22T15:23:03.000Z;1612632216755;01;SHIPMENT;lancaperfume;LP RECIFE RECIFE;502VE011879-A3379M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T20:06:51.000Z;processed
2026-02-21T23:06:08.000Z;1612472216187;01;PICKUP;lancaperfume;LP CAMPO GRANDE;502TS005344-A0001M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T20:07:19.000Z;processed
2026-02-19T15:34:49.000Z;1611922213141;01;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;538OB000674-A3521U;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T22:03:40.000Z;processed
2026-02-20T01:05:15.000Z;1612012213889;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502RG001137-A0001PP;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T22:06:53.000Z;processed
2026-02-23T10:38:06.000Z;1612832217551;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502BL009352-A3832P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T22:44:05.000Z;processed
2026-02-23T10:38:06.000Z;1612832217551;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502VE012232-A3822P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T22:44:05.000Z;processed
2026-02-23T10:38:06.000Z;1612832217551;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;502VE012234-A3830P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T22:44:05.000Z;processed
2026-02-23T10:38:06.000Z;1612832217551;02;SHIPMENT;lancaperfume;LP SAO PAULO MORUMBI SHOP;503SH000045-A3499P;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-23T22:44:05.000Z;processed
2026-02-23T20:16:20.000Z;1612922218175;01;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502SA002878-A3331P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T23:25:15.000Z;processed
2026-02-23T20:16:20.000Z;1612922218175;01;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502TP001928-A3331M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-23T23:25:15.000Z;processed
2026-02-22T17:50:21.000Z;1612662216900;05;SHIPMENT;lancaperfume;LP CAMPO GRANDE;502KT000111-A3041PP;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-23T23:26:05.000Z;processed
2026-02-20T01:13:22.000Z;1612012213904;01;SHIPMENT;lancaperfume;LP BRASILIA PARKSHOPPING;526CF000048-A3043P;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-02-24T00:03:22.000Z;processed
2026-02-21T15:48:57.000Z;1612402215686;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502CF003203-A0001PP;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-24T14:39:20.000Z;processed
2026-02-21T15:48:57.000Z;1612402215686;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502JA001113-A0001P;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-24T14:39:20.000Z;processed
2026-02-20T21:54:35.000Z;1612222214926;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502VE011998-A3606G;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-24T14:43:36.000Z;processed
2026-02-21T20:39:11.000Z;1612452216041;01;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;537SL000126-A000136;1;PURCHASE;PHYSICAL;DEFECT;STOCKOUT;total;2026-02-24T14:49:51.000Z;processed
2026-02-21T23:36:36.000Z;1612482216232;04;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;501SH003047-A000434;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-24T14:58:44.000Z;processed
2026-02-21T15:15:03.000Z;1612392215660;01;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;538OB000662-A0003U;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-24T14:59:44.000Z;processed
2026-02-20T18:31:36.000Z;1612192214661;01;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;501CF008212-A000144;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-24T15:00:35.000Z;processed
2026-02-21T00:46:43.000Z;1612252215136;03;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;538OB000670-A3561U;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-24T15:02:35.000Z;processed
2026-02-23T20:35:35.000Z;1612932218204;01;SHIPMENT;lancaperfume;LP RECIFE RECIFE;502RG001132-A0001G;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-24T15:12:41.000Z;processed
2026-02-22T18:02:55.000Z;1612662216912;01;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502CA001555-A0001M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-24T15:16:02.000Z;processed
2026-02-22T18:02:55.000Z;1612662216912;01;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502TS005344-A0001M;1;PURCHASE;PHYSICAL;BEFORE_SOLD;STOCKOUT;total;2026-02-24T15:16:02.000Z;processed
2026-02-19T02:14:53.000Z;1611782212659;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502BD001767-A2312M;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-24T17:21:09.000Z;processed
2026-02-19T02:14:53.000Z;1611782212659;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502SA002902-A2312P;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-24T17:21:09.000Z;processed
2026-02-19T02:14:53.000Z;1611782212659;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502VE011733-A3291P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-24T17:21:09.000Z;processed
2026-02-19T02:14:53.000Z;1611782212659;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502VE011920-A0001P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-02-24T17:21:09.000Z;processed
2026-02-19T14:34:03.000Z;1611912213070;04;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502TS005202-A0001G;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-02-24T17:21:34.000Z;processed
